Agents,X_DIM,Y_DIM,TRIAL_NO,SCORE,DONE_RATIO,STEPS,ACTION_PROB
10,35,35,1,-0.13518518518518233,0.0,146,[0.05285412 0.05496829 0.06342495 0.78224101 0.04651163]
10,35,35,2,-0.09365740740740619,0.0,119,[0.0408805  0.05031447 0.0754717  0.78301887 0.05031447]
10,35,35,3,-0.3133333333333325,20.0,519,[0.02318668 0.02021403 0.02794293 0.90725327 0.02140309]
10,35,35,4,-0.07406249999999912,10.0,135,[0.04522613 0.05276382 0.06030151 0.78643216 0.05527638]
10,35,35,5,-0.1985416666666655,10.0,270,[0.04438642 0.04569191 0.03002611 0.84334204 0.03655352]
10,35,35,6,-0.052083333333333454,0.0,75,[0.02955665 0.03940887 0.07389163 0.83251232 0.02463054]
10,35,35,7,-0.17366898148147825,40.0,277,[0.0308311  0.04021448 0.03351206 0.86193029 0.03351206]
10,35,35,8,-0.07385416666666625,30.0,117,[0.06683805 0.05655527 0.09768638 0.71979434 0.05912596]
10,35,35,9,-0.1387268518518492,60.0,169,[0.02729885 0.04741379 0.07183908 0.83045977 0.02298851]
10,35,35,10,-0.10769675925925873,30.0,119,[0.00229358 0.         0.03669725 0.9587156  0.00229358]
10,35,35,11,-0.055902777777777794,0.0,69,[0.02573529 0.03308824 0.04411765 0.875      0.02205882]
10,35,35,12,-0.11160879629629557,10.0,161,[0.04889976 0.04156479 0.02444988 0.85330073 0.03178484]
10,35,35,13,-0.10481481481481393,10.0,216,[0.06970849 0.05576679 0.06463878 0.75285171 0.05703422]
10,35,35,14,-0.11083333333333213,0.0,168,[0.05780347 0.04046243 0.03468208 0.8265896  0.04046243]
10,35,35,15,-0.4352314814815012,0.0,476,[0.02345416 0.02878465 0.03198294 0.89445629 0.02132196]
10,35,35,16,-0.442893518518533,20.0,554,[0.00671551 0.00854701 0.00549451 0.97191697 0.00732601]
10,35,35,17,-0.06957175925925924,10.0,93,[0.0260223  0.05204461 0.0669145  0.78066914 0.07434944]
10,35,35,18,-0.09857638888888753,20.0,192,[0.02233677 0.02061856 0.01546392 0.93127148 0.01030928]
10,35,35,19,-0.11707175925925847,10.0,169,[0.05060729 0.0465587  0.05870445 0.78744939 0.05668016]
10,35,35,20,-0.1452314814814812,30.0,272,[0.07208388 0.07601573 0.07470511 0.69986894 0.07732634]
10,35,35,21,-0.06717592592592525,50.0,174,[0.00410678 0.00410678 0.00616016 0.98151951 0.00410678]
10,35,35,22,-0.07324074074074051,10.0,94,[0.01010101 0.01346801 0.02356902 0.93602694 0.01683502]
10,35,35,23,-0.07243055555555523,20.0,117,[0.02535211 0.03380282 0.01971831 0.89014085 0.03098592]
10,35,35,24,-0.14163194444444246,30.0,252,[0.07317073 0.0750469  0.0750469  0.70731707 0.06941839]
10,35,35,25,-0.06982638888888844,30.0,103,[0.02046036 0.00767263 0.00511509 0.9488491  0.01790281]
10,35,35,26,-0.09693287037036939,20.0,149,[0.05210918 0.05955335 0.0248139  0.81637717 0.0471464 ]
10,35,35,27,-0.18320601851852017,40.0,470,[0.04372937 0.03547855 0.05528053 0.82755776 0.0379538 ]
10,35,35,28,-0.09156249999999908,20.0,148,[0.06557377 0.05737705 0.03551913 0.77868852 0.06284153]
10,35,35,29,-0.32555555555556787,0.0,586,[0. 0. 0. 1. 0.]
10,35,35,30,-0.1902546296296279,30.0,333,[0.07324841 0.05095541 0.0589172  0.71656051 0.10031847]
10,35,35,31,-0.17047453703703688,30.0,287,[0.02857143 0.02738095 0.025      0.89166667 0.02738095]
10,35,35,32,-0.09835648148148006,10.0,188,[0.01176471 0.02521008 0.05042017 0.87563025 0.03697479]
10,35,35,33,-0.3169328703703707,30.0,473,[0.03472222 0.03009259 0.02430556 0.8900463  0.02083333]
10,35,35,34,-0.09972222222222192,50.0,169,[0.02325581 0.01691332 0.04439746 0.87526427 0.04016913]
10,35,35,35,-0.06549768518518512,30.0,99,[0.01461988 0.01754386 0.00584795 0.94444444 0.01754386]
10,35,35,36,-0.10388888888888793,0.0,136,[0. 0. 0. 1. 0.]
10,35,35,37,-0.09800925925925817,0.0,146,[0.05200946 0.04728132 0.02600473 0.82033097 0.05437352]
10,35,35,38,-0.10949074074073933,20.0,164,[0.05008078 0.05654281 0.05977383 0.75767367 0.07592892]
10,35,35,39,-0.27101851851852554,20.0,532,[0.01595745 0.01196809 0.01595745 0.94148936 0.01462766]
